difficulty,start,stop ,step,correct answer
0,1,4,1,4
0.01,1,6,1,6
0.02,0,3,1,3
0.05,10,13,1,13
0.1,105,108,1,108
0.03,2,8,2,8
0.04,3,9,2,9
0.06,4,10,2,10
0.07,5,11,2,11
0.08,6,12,2,12
0.09,7,13,2,13
0.1,8,14,2,14
0.11,9,15,2,15
0.12,10,16,2,16
0.13,11,17,2,17
0.14,12,18,2,18
0.15,13,19,2,19
0.16,14,20,2,20
0.17,15,21,2,21
0.18,16,22,2,22
0.19,17,23,2,23
0.2,18,24,2,24
0.21,19,25,2,25
0.22,20,26,2,26
0.23,21,27,2,27
0.24,22,28,2,28
0.25,23,29,2,29
0.26,24,30,2,30
0.27,25,31,2,31
0.28,26,32,2,32
0.29,27,33,2,33
0.3,28,34,2,34
0.31,29,35,2,35
0.32,30,36,2,36
0.33,31,37,2,37
0.34,32,38,2,38
0.35,33,39,2,39
0.36,34,40,2,40
0.37,35,41,2,41
0.38,36,42,2,42
0.39,37,43,2,43
0.4,38,44,2,44
0.41,39,45,2,45
0.42,40,46,2,46
0.43,41,47,2,47
0.44,42,48,2,48
0.45,43,49,2,49
0.46,44,50,2,50
