AAA-BST Six3 Meis2 Gaba,#d04156
ABC NN,#8fab6e
ACB-BST-FS D1 Gaba,#e18538
AD Serpinb7 Glut,#b34ade
ADP-MPO Trp73 Glut,#59acca
AHN Onecut3 Gaba,#612d4f
AHN Otp Glut,#59b99b
APN C1ql2 Glut,#528033
APN C1ql4 Glut,#59bd6f
ARH Foxd2 Gaba,#7d2d4a
ARH Tbx3 Gaba,#753259
ARH Tbx3 Glut,#35552f
ARH-DMH-LHA Gsx1 Gaba,#cb8bb2
AV Col27a1 Glut,#bb46e0
AVPV-MEPO Tbr1 Glut,#438166
Aqp1 OEG NN,#a7a96d
Astro-CB NN,#b5a06a
Astro-Epen NN,#c7a73b
Astro-NT NN,#8e6931
Astro-OLF NN,#a3b178
Astro-TE NN,#b6ab37
BAM NN,#c3a538
BST Tac2 Gaba,#ce89ad
BST-po Glut,#be96cb
Bergmann NN,#806d2a
CA1-ProS Glut,#5a83dc
CA2 Glut,#63bf9f
CA3 Glut,#3d768e
CB Granule Glut,#56c397
CB MLI Cdh22 Gaba,#7b2f4a
CB MLI Megf11 Gaba,#cf8497
CB PLI Gly-Gaba,#e4538a
CB Purkinje Gaba,#d9445e
CBN Dmbx1 Gaba,#742d3a
CBN Glut,#407a5d
CEA-AAA-BST Ebf1 Gaba,#693724
CEA-AAA-BST Six3 Cyp26b1 Gaba,#d9435d
CEA-BST Crh Gaba,#d84692
CHOR NN,#caac41
CLI-IF-IPN-DTN-PCG Otp Pax3 Gaba,#d34c8e
CLI-PDTg Pax6 Gaba,#d174a5
CM-IAD-CL-PCN Glut,#7f38ce
COAa-PAA Barhl2 Glut,#414778
COAp Grxcr2 Glut,#6e60d7
COAp-TR-ENTmv Glut,#486a94
CT SUB Glut,#6a71dd
CU-ECU-SPVI Foxb1 Glut,#5fbe36
CUN-PPN Evx2 Lhx2 Glut,#4d7d34
CUN-PPN Evx2 Meis2 Glut,#96b83a
Car3 Glut,#53a9c1
DC NN,#c7a173
DCO Il22 Gly-Gaba,#78542a
DCO UBC Glut,#d1946e
DG Glut,#c49cd4
DG-PIR Ex IMN,#d6946d
DMH Hmx2 Gaba,#97326c
DMH Hmx2 Glut,#2e512b
DMH Nkx2-4 Glut,#53c739
DMH Prdm13 Gaba,#cf43cd
DMH-LHA Vgll2 Glut,#6cb775
DMX Tbx20 Chol,#897332
ECU-CU Slc6a2 Glut,#59b096
Endo NN,#a5af71
Ependymal NN,#94b53b
FS Mgp Gaba,#c98084
GPe Sox6 Cyp26b1 Gaba,#dc7765
GPi Skor1 Gaba-Glut,#ada23a
GRN Prox1 Brs3 Gly-Gaba,#d17d31
Golgi Gly-Gaba,#e08635
HB Otp Shroom3 Gaba,#742d3a
HPF CR Glut,#6580d2
HY Gnrh1 Glut,#6194c4
Hypendymal NN,#d48b7b
IC Six3 En2 Gaba,#dd4784
IC Tfap2d Maf Glut,#53672d
IO Glut,#533762
IPN Otp Crisp1 Gaba,#e44531
IPN Vsx2 Nkx6-1 Pax5 Glut,#548c36
IPN-IF-RL Foxa1 Glut,#96b837
IRN Dmbx1 Pax2 Gly-Gaba,#dd4e34
IRN Vip Glut,#70c33e
IRN-PGRN-MARN Pax6 Hoxb5 Gly-Gaba,#de424e
IT AON-TT-DP Glut,#648ec4
IT EP-CLA Glut,#51279d
L2 IT ENT-po Glut,#5433b4
L2 IT PPP-APr Glut,#5ab9c7
L2/3 IT CTX Glut,#9696d6
L2/3 IT ENT Glut,#753bd8
L2/3 IT ENTl-PIR Glut,#443773
L2/3 IT PPP Glut,#40386a
L2/3 IT RSP Glut,#6779d6
L4 RSP-ACA Glut,#6a75d9
L4/5 IT CTX Glut,#5c88bf
L5 ET CTX Glut,#5baec8
L5 IT CTX Glut,#6374db
L5 NP CTX Glut,#363b71
L5 PPP Glut,#8165e0
L5/6 IT TPE-ENT Glut,#613dc7
L6 CT CTX Glut,#a0a1d9
L6 IT CTX Glut,#4c4185
L6b CTX Glut,#5d73d7
L6b EPd Glut,#56afa3
L6b/CT ENT Glut,#789cd8
LA-BLA-BMA-PA Glut,#4a456a
LDT Fgf7 Gaba,#c972d0
LDT Vsx2 Nkx6-1 Nfib Glut,#52b7c8
LDT-PCG Gata3 Irx5 Gaba,#c979db
LGv Otx2 Gaba,#92375c
LGv-SPFp-SPFm Gata3 Gaba,#cd6eba
LH Pou4f1 Sox1 Glut,#6a3dcc
LHA Pmch Glut,#592d99
LHA-MEA Otp Glut,#435f2e
LHA-SBPV-AHN Gaba,#da98c5
LSX Nkx2-1 Gaba,#982b34
LSX Otx2 Gaba,#d74475
LSX Prdm12 do Gaba,#992f30
LSX Prdm12 ve Gaba,#b77775
LSX Sall3 Lmo1 Gaba,#672f3c
LSX Sall3 Pax6 Gaba,#d84676
Lamp5 Gaba,#d63e8e
Lamp5 Lhx6 Gaba,#d7426b
Lymphoid NN,#9d6593
MA3 Foxd2 Glut,#b882d1
MARN-PPY Ngfr Gly-Gaba,#a74529
MB-MY Glut-Sero,#a35626
MB/HB Lhx1 Glut,#5a7e2b
MDRN Bves Glut,#546b9a
MEA Otp Glut,#4d4a95
MEA Slc17a7 Glut,#703dd6
MEA-BST Avp Gaba,#de43ac
MEA-BST Lhx6 Nfib Gaba,#6a2c2c
MEA-BST Lhx6 Nr2e1 Gaba,#d48c83
MEA-BST Lhx6 Sp9 Gaba,#a93b57
MEA-BST Lhx6 Zfhx3 Gaba,#5a295a
MEA-BST Otp Glut,#463289
MEA-BST Sox6 Gaba,#792e26
MEA-COA-BMA Ccdc42 Glut,#7b95d1
MH Tac2 Glut,#652e88
MM Foxb1 Glut,#7944d9
MM-ant Foxb1 Glut,#7291c8
MOB Dopa-Gaba,#c8a836
MOB Eomes Ms4a15 Glut,#4f3783
MOB Meis2 Gaba,#d58579
MOB Trdn Gaba,#9f3c2a
MOB-STR-CTX Inh IMN,#675829
MOB-in Frmd7 Gaba,#d4878e
MOB-mi Frmd7 Gaba,#df462a
MOB-out Frmd7 Gaba,#e14e2c
MPO-LPO Lhx8 Gaba,#873284
MPO-MPN Glut,#4f7b2a
